bgg_id,mechanic
77,"Dice Rolling, Hexagon Grid, Simulation, Secret Unit Deployment"
78,"Dice Rolling, Hexagon Grid, Secret Unit Deployment"
79,"Dice Rolling, Hexagon Grid, Grid Movement, Simulation, Secret Unit Deployment"
82,"Dice Rolling, Secret Unit Deployment"
83,Secret Unit Deployment
84,"Dice Rolling, Hexagon Grid, Secret Unit Deployment"
85,"Dice Rolling, Point to Point Movement, Simulation, Secret Unit Deployment"
87,"Dice Rolling, Hexagon Grid, Secret Unit Deployment"
88,"Area Majority / Influence, Hand Management, Tile Placement, Action Points, Square Grid, Enclosure, Grid Movement, Three Dimensional Movement"
89,"Dice Rolling, Hand Management"
90,Hand Management
91,"Dice Rolling, Point to Point Movement, Campaign / Battle Card Driven"
93,"Area Majority / Influence, Auction/Bidding, Hand Management, Simultaneous Action Selection, Area Movement, Memory, Action Drafting, Drafting"
94,"Stock Holding, Network and Route Building, Drafting"
95,"Dice Rolling, Race, Roll / Spin and Move, Grid Movement"
96,"Dice Rolling, Hand Management, Square Grid, Point to Point Movement, Action Queue, Grid Movement"
97,"Dice Rolling, Area Movement"
98,"Dice Rolling, Area Movement, Team-Based Game, Minimap Resolution, Stat Check Resolution"
99,"Dice Rolling, Simulation, Area Movement"
101,Auction/Bidding
102,Set Collection
103,"Dice Rolling, Set Collection, Roll / Spin and Move, Player Elimination, Secret Unit Deployment, Minimap Resolution"
104,"Area Majority / Influence, Set Collection, Tile Placement, Simulation"
105,"Hand Management, Betting and Bluffing"
106,"Hand Management, Set Collection, Voting"
108,"Enclosure, Grid Movement, Action Timer, Real-Time"
109,Auction/Bidding
110,"Auction/Bidding, Roll / Spin and Move, Pick-up and Deliver"
111,"Area Majority / Influence, Hand Management, Enclosure"
112,"Area Majority / Influence, Auction/Bidding, Hand Management, Negotiation, Betting and Bluffing"
113,Trick-taking
114,"Auction/Bidding, Negotiation, Trading, Betting and Bluffing, Memory"
115,"Dice Rolling, Hand Management, Set Collection, Negotiation, Roll / Spin and Move, Take That"
116,"Hand Management, Set Collection, Take That, Drafting"
117,"Tile Placement, Pattern Building, Network and Route Building, Team-Based Game"
118,"Auction/Bidding, Hand Management, Victory Points as a Resource, Commodity Speculation"
119,Tile Placement
120,"Simultaneous Action Selection, Set Collection, Betting and Bluffing, Physical"
121,"Alliances, Area Majority / Influence, Auction/Bidding, Hand Management, Negotiation, Variable Player Powers, Area Movement, Betting and Bluffing, Team-Based Game, Map Deformation"
122,"Point to Point Movement, Negotiation, Trading, Voting"
124,"Dice Rolling, Variable Player Powers, Bias, Grid Movement"
125,"Auction/Bidding, Simultaneous Action Selection, Set Collection"
126,"Roll / Spin and Move, Betting and Bluffing"
127,"Simultaneous Action Selection, Variable Player Powers, Cooperative Game, Deduction"
128,"Tile Placement, Pattern Building, Bingo"
130,"Pick-up and Deliver, Crayon Rail System, Multiple Maps"
132,"Area Majority / Influence, Hand Management, Set Collection, Betting and Bluffing"
133,Modular Board
134,Tile Placement
135,"Area Majority / Influence, Tile Placement, Commodity Speculation"
137,"Dice Rolling, Real-Time, Physical"
139,"Voting, Deduction, Betting and Bluffing, Hidden Roles"
140,"Set Collection, Negotiation, Trading, Real-Time"
141,"Area Majority / Influence, Set Collection, Trading"
142,"Area Majority / Influence, Simultaneous Action Selection, Commodity Speculation"
144,"Dice Rolling, Negotiation"
145,Negotiation
146,Commodity Speculation
147,"Dice Rolling, Tile Placement, Random Production, Commodity Speculation"
148,"Simultaneous Action Selection, Betting and Bluffing, Physical"
150,"Modular Board, Race, Dexterity"
151,Dexterity
152,"Trick-taking, Team-Based Game"
153,"Hand Management, Set Collection"
154,"Hand Management, Pick-up and Deliver"
155,"Trick-taking, Deduction, Drafting"
156,"Network and Route Building, Point to Point Movement"
157,"Network and Route Building, Connections, Pick-up and Deliver, Crayon Rail System"
162,"Dice Rolling, Movement Points, Simulation, Area Movement"
163,"Voting, Paper-and-Pencil, Betting and Bluffing"
164,Push Your Luck
165,"Pattern Recognition, Deduction, Secret Unit Deployment, Line Drawing"
166,"Dice Rolling, Action Points, Point to Point Movement, Variable Player Powers, Simulation"
167,Commodity Speculation
168,"Network and Route Building, Movement Points, Connections, Pick-up and Deliver, Crayon Rail System"
169,"Hand Management, Tug of War"
170,"Hand Management, Player Elimination, Take That"
171,"Square Grid, Grid Movement, Pattern Movement, Static Capture"
172,"Auction/Bidding, Hand Management"
173,"Push Your Luck, Race, Roll / Spin and Move, Grid Movement, Player Elimination, Simulation, Team-Based Game, Different Dice Movement"
174,"Hand Management, Trick-taking, Set Collection"
175,"Auction/Bidding, Simultaneous Action Selection, Betting and Bluffing"
176,"Auction/Bidding, Hand Management, Action Points"
178,"Enclosure, Variable Player Powers"
179,"Square Grid, Grid Movement"
180,"Simultaneous Action Selection, Tile Placement"
181,"Dice Rolling, Set Collection, Player Elimination, Area Movement"
182,"Hand Management, Set Collection, Team-Based Game"
183,Area Majority / Influence
185,"Dice Rolling, Race, Roll / Spin and Move, Grid Movement, Take That"
186,"Pattern Building, Point to Point Movement, Team-Based Game"
188,"Square Grid, Enclosure"
189,"Dice Rolling, Hand Management, Negotiation, Trading, Memory"
190,Auction/Bidding
192,"Simultaneous Action Selection, Trading"
193,"Dice Rolling, Push Your Luck"
194,"Dice Rolling, Take That"
195,Dice Rolling
196,"Negotiation, Voting"
197,Pick-up and Deliver
198,Set Collection
199,"Area Majority / Influence, Hand Management"
200,"Area Majority / Influence, Tile Placement, Modular Board"
201,"Area Majority / Influence, Hand Management, Tile Placement"
202,"Modular Board, Player Elimination"
204,"Area Majority / Influence, Hexagon Grid, Set Collection, Tile Placement, Stock Holding, Network and Route Building, Grid Movement, Chaining"
206,Trick-taking
207,Dexterity
214,"Hand Management, Tile Placement, Pattern Building"
215,"Hand Management, Trick-taking, Team-Based Game, Ladder Climbing, Predictive Bid"
216,"Area Majority / Influence, Tile Placement"
217,"Dice Rolling, Set Collection, Action Points, Dexterity"
218,"Auction/Bidding, Set Collection, Negotiation"
219,"Hand Management, Tile Placement"
220,Auction/Bidding
221,"Area Majority / Influence, Auction/Bidding, Dice Rolling, Simultaneous Action Selection, Area Movement"
222,"Set Collection, Drafting"
223,"Network and Route Building, Point to Point Movement"
224,"Area Majority / Influence, Dice Rolling, Hand Management"
225,Real-Time
226,"Modular Board, Network and Route Building"
228,"Hand Management, Take That"
229,"Hand Management, Point to Point Movement, Drafting"
230,"Dice Rolling, Point to Point Movement, Trading, Variable Set-up, Roll / Spin and Move, Movement Points, Commodity Speculation, Pick-up and Deliver"
231,"Variable Player Powers, Area Movement"
232,"Trading, Pick-up and Deliver"
234,"Area Majority / Influence, Dice Rolling, Point to Point Movement, Events, Simulation, Campaign / Battle Card Driven"
235,"Dice Rolling, Hexagon Grid, Variable Player Powers, Grid Movement, Movement Points, Simulation, Solo / Solitaire Game"
237,"Dice Rolling, Hexagon Grid, Action Queue, Simulation, Line of Sight"
239,"Dice Rolling, Hexagon Grid, Simulation"
240,"Dice Rolling, Voting, Simulation, Area Movement, Stat Check Resolution"
241,Push Your Luck
242,"Dice Rolling, Hand Management, Simultaneous Action Selection, Negotiation, Trading, Variable Player Powers, Voting, Area Movement, Betting and Bluffing"
243,"Dice Rolling, Hexagon Grid, Modular Board, Variable Set-up, Variable Player Powers, Grid Movement, Scenario / Mission / Campaign Game, Movement Points, Simulation, Secret Unit Deployment, Ratio / Combat Results Table, Line of Sight, Critical Hits and Failures, Interrupts"
244,"Dice Rolling, Hexagon Grid, Action Points, Push Your Luck, Variable Player Powers, Action Queue, Grid Movement, Scenario / Mission / Campaign Game, Paper-and-Pencil, Player Elimination, Betting and Bluffing"
247,"Set Collection, Drafting"
248,"Set Collection, Negotiation, Events, Paper-and-Pencil, Role Playing, Simulation, Area Movement, Pick-up and Deliver"
249,"Simultaneous Action Selection, Negotiation, Voting, Player Elimination"
250,"Area Majority / Influence, Simultaneous Action Selection, Negotiation, Player Elimination, Area Movement, Betting and Bluffing"
252,"Dice Rolling, Hexagon Grid, Zone of Control"
254,"Dice Rolling, Negotiation, Variable Set-up, Variable Player Powers, Scenario / Mission / Campaign Game, Movement Points, Simulation, Area Movement, Secret Unit Deployment"
255,Hexagon Grid
256,"Modular Board, Race, Grid Movement, Map Addition, Pick-up and Deliver"
257,"Hand Management, Point to Point Movement, Drafting"
258,"Hand Management, Set Collection"
259,Trick-taking
260,"Dice Rolling, Modular Board"
261,Simultaneous Action Selection
263,"Area Majority / Influence, Hand Management, Drafting, Physical"
264,"Hand Management, Take That"
265,"Area Majority / Influence, Auction/Bidding, Hand Management, Negotiation, Bribery"
267,"Area Majority / Influence, Point to Point Movement"
268,"Set Collection, Tile Placement, Commodity Speculation"
270,"Area Majority / Influence, Set Collection, Events, Simulation, Take That, End Game Bonuses, Drafting"
271,"Set Collection, Memory, Real-Time"
272,"Simultaneous Action Selection, Tile Placement, Negotiation, Voting"
273,"Area Majority / Influence, Simultaneous Action Selection, Negotiation, Player Elimination, Area Movement, Betting and Bluffing"
274,"Dice Rolling, Hand Management, Variable Player Powers, Simulation, Hidden Roles, Drafting"
276,"Negotiation, Variable Player Powers, Simulation, Area-Impulse"
277,"Set Collection, Trading"
278,"Dice Rolling, Hand Management, Trading, Drafting"
279,Tile Placement
281,"Commodity Speculation, Pick-up and Deliver"
282,"Area Majority / Influence, Dice Rolling, Area Movement"
283,"Dice Rolling, Hexagon Grid, Grid Movement, Scenario / Mission / Campaign Game, Simulation, Tech Trees / Tech Tracks"
284,"Auction/Bidding, Negotiation, Trading, Area Movement, Drafting"
286,"Dice Rolling, Simultaneous Action Selection, Negotiation, Variable Player Powers, Player Elimination, Simulation, Area Movement, Betting and Bluffing"
287,"Set Collection, Trading"
288,Hexagon Grid
289,"Dice Rolling, Variable Player Powers, Simulation, Area Movement"
290,"Hand Management, Stock Holding"
291,"Hand Management, Negotiation, Trading, Role Playing"
292,"Auction/Bidding, Hand Management, Set Collection"
293,"Push Your Luck, Dexterity"
294,"Auction/Bidding, Set Collection, Betting and Bluffing, Worker Placement"
295,"Negotiation, Voting"
296,"Area Majority / Influence, Network and Route Building"
297,Auction/Bidding
298,Voting
299,"Dice Rolling, Action Points, Modular Board, Line of Sight, Measurement Movement"
300,"Set Collection, Modular Board, Drafting"
301,"Area Majority / Influence, Hand Management, Tile Placement, Betting and Bluffing"
302,Area Majority / Influence
303,Negotiation
304,Commodity Speculation
305,"Stock Holding, Trading, Betting and Bluffing"
308,"Network and Route Building, Drafting"
309,"Area Majority / Influence, Hand Management, Network and Route Building"
310,"Dice Rolling, Simulation, Variable Phase Order, Area Movement"
311,Variable Player Powers
312,"Hand Management, Take That"
313,Stock Holding
314,"Action Points, Point to Point Movement"
315,"Variable Player Powers, Grid Movement"
316,"Dice Rolling, Grid Movement"
319,Tile Placement
320,"Hand Management, Tile Placement, Square Grid, End Game Bonuses"
321,"Modular Board, Point to Point Movement, Race, Map Reduction"
322,"Dice Rolling, Set Collection, Betting and Bluffing, Bribery"
323,"Area Majority / Influence, Dice Rolling"
324,Auction/Bidding
327,"Player Elimination, Real-Time, Dexterity"
328,Hand Management
329,"Dice Rolling, Hexagon Grid, Simulation"
330,"Dice Rolling, Action Points"
332,"Auction/Bidding, Dice Rolling, Negotiation, Commodity Speculation"
333,"Tile Placement, Take That"
334,"Area Majority / Influence, Dice Rolling, Hand Management, Take That"
335,Point to Point Movement
336,Grid Movement
337,"Set Collection, Push Your Luck, Drafting"
338,"Trick-taking, Set Collection"
339,"Hand Management, Set Collection"
340,"Hand Management, Trick-taking, Team-Based Game, Ladder Climbing"
342,Square Grid
343,Betting and Bluffing
344,"Hand Management, Deduction, Betting and Bluffing"
345,"Stock Holding, Network and Route Building"
347,"Hand Management, Betting and Bluffing"
348,"Negotiation, Variable Player Powers, Commodity Speculation, Pick-up and Deliver"
349,"Simultaneous Action Selection, Set Collection"
350,Trick-taking
352,Trick-taking
353,"Hand Management, Deduction"
354,"Hand Management, Trick-taking"
355,Auction/Bidding
356,"Dice Rolling, Race"
357,"Dice Rolling, Push Your Luck, Race"
359,Hand Management
361,"Hand Management, Resource to Move"
363,"Auction/Bidding, Set Collection"
364,"Set Collection, Square Grid, Trading, Pick-up and Deliver"
365,Trick-taking
366,"Dice Rolling, Roll / Spin and Move"
367,Trick-taking
368,"Hand Management, Simultaneous Action Selection, Trick-taking"
369,"Hand Management, Pattern Building, Take That"
371,"Hand Management, Set Collection, Team-Based Game"
372,"Hand Management, Set Collection"
373,"Auction/Bidding, Betting and Bluffing"
374,"Auction/Bidding, Simultaneous Action Selection, Tile Placement"
375,"Area Majority / Influence, Hand Management"
376,"Point to Point Movement, Mancala"
378,"Pick-up and Deliver, Crayon Rail System"
379,"Set Collection, Take That"
380,Dexterity
381,Dice Rolling
382,"Roll / Spin and Move, Betting and Bluffing, Hidden Roles"
383,"Dice Rolling, Betting and Bluffing"
384,"Dice Rolling, Hand Management, Roll / Spin and Move"
386,"Roll / Spin and Move, Pick-up and Deliver"
387,"Hand Management, Betting and Bluffing"
388,"Dice Rolling, Set Collection"
389,"Simultaneous Action Selection, Betting and Bluffing"
392,"Variable Player Powers, Real-Time"
393,Modular Board
394,"Area Majority / Influence, Hand Management, Network and Route Building, Take That, Drafting"
397,"Action Points, Variable Player Powers"
398,"Hand Management, Stock Holding, Commodity Speculation"
399,"Trading, Variable Player Powers"
400,"Auction/Bidding, Betting and Bluffing"
401,"Dice Rolling, Set Collection, Push Your Luck"
403,"Modular Board, Race, Dexterity"
404,Simultaneous Action Selection
406,Tile Placement
408,"Area Movement, Betting and Bluffing, Secret Unit Deployment"
409,Memory
410,Tile Placement
412,"Hand Management, Commodity Speculation"
413,"Voting, Deduction, Betting and Bluffing"
414,"Point to Point Movement, Drafting"
415,"Simultaneous Action Selection, Real-Time"
416,"Dice Rolling, Set Collection"
417,Hand Management
420,Roll / Spin and Move
421,"Auction/Bidding, Tile Placement, Investment, Market, Stock Holding, Victory Points as a Resource, Network and Route Building, Ownership"
422,"Auction/Bidding, Stock Holding, Network and Route Building"
423,"Auction/Bidding, Tile Placement, Stock Holding, Network and Route Building"
424,"Auction/Bidding, Hexagon Grid, Stock Holding, Network and Route Building"
425,"Tile Placement, Modular Board, Trading"
426,"Dice Rolling, Hexagon Grid, Grid Movement, Movement Points, Simulation, Zone of Control"
427,"Hand Management, Take That"
428,"Auction/Bidding, Dice Rolling"
430,"Simultaneous Action Selection, Betting and Bluffing"
431,"Area Majority / Influence, Hand Management, Set Collection, Drafting"
432,"Hand Management, Simultaneous Action Selection, Score-and-Reset Game, Kill Steal"
433,"Dice Rolling, Stock Holding, Commodity Speculation"
434,"Hand Management, Set Collection"
436,"Trick-taking, Grid Movement, Betting and Bluffing"
437,"Modular Board, Point to Point Movement, Map Deformation"
438,"Point to Point Movement, Deduction, Secret Unit Deployment, Team-Based Game, Hidden Movement"
440,Simultaneous Action Selection
441,Dice Rolling
442,"Hand Management, Roll / Spin and Move"
443,"Paper-and-Pencil, Deduction"
444,"Dice Rolling, Push Your Luck, Race, Roll / Spin and Move, Track Movement"
445,Drafting
446,Dexterity
449,Dice Rolling
451,Trick-taking
452,Set Collection
454,"Point to Point Movement, Roll / Spin and Move"
455,"Hand Management, Take That"
459,Modular Board
460,Line Drawing
461,"Area Majority / Influence, Hand Management"
462,Betting and Bluffing
463,"Hand Management, Betting and Bluffing, Take That, Interrupts, Deck Construction, Drafting"
464,"Race, Grid Movement"
465,"Simultaneous Action Selection, Commodity Speculation, Betting and Bluffing"
466,"Point to Point Movement, Roll / Spin and Move, Deduction, Team-Based Game"
469,"Betting and Bluffing, Pick-up and Deliver"
472,"Dice Rolling, Tile Placement, Push Your Luck, Variable Player Powers, Role Playing, Physical"
473,Hand Management
474,"Area Majority / Influence, Negotiation"
475,"Auction/Bidding, Hand Management, Set Collection, Network and Route Building, Betting and Bluffing, Drafting"
476,Hand Management
477,"Stock Holding, Roll / Spin and Move"
478,"Set Collection, Variable Player Powers, Lose a Turn, Deduction, Betting and Bluffing, Action Drafting, Hidden Roles, Drafting, TableauBuilding"
481,"Area Majority / Influence, Dice Rolling, Hand Management, Modular Board, Track Movement"
482,"Auction/Bidding, Hand Management, Simultaneous Action Selection"
483,"Area Majority / Influence, Simultaneous Action Selection, Negotiation, Player Elimination, Area Movement, Betting and Bluffing, Prisoner's Dilemma"
484,"Modular Board, Variable Player Powers, Deduction, Betting and Bluffing, Memory, Secret Unit Deployment, Physical"
486,"Pattern Recognition, Real-Time"
487,"Simultaneous Action Selection, Area Movement, Secret Unit Deployment"
488,Set Collection
489,Hand Management
490,"Dice Rolling, Hexagon Grid"
491,"Area Majority / Influence, Hand Management, Network and Route Building, Drafting"
492,"Auction/Bidding, Set Collection, Betting and Bluffing, Worker Placement"
494,"Hand Management, Race, Track Movement"
495,Set Collection
496,Dexterity
497,"Hand Management, Set Collection"
499,Dexterity
503,"Hexagon Grid, Enclosure, Network and Route Building, Connections, Chaining, Hidden Victory Points"
504,"Grid Movement, Betting and Bluffing"
505,"Action Queue, Memory"
506,"Auction/Bidding, Dice Rolling"
507,"Auction/Bidding, Set Collection"
508,"Dice Rolling, Simultaneous Action Selection, Hexagon Grid, Variable Set-up, Grid Movement, Scenario / Mission / Campaign Game, Events, Paper-and-Pencil, Role Playing, Simulation, Three Dimensional Movement, Critical Hits and Failures, Movement Template"
509,"Dice Rolling, Set Collection"
510,"Auction/Bidding, Trading"
511,"Dice Rolling, Network and Route Building, Commodity Speculation, Pick-up and Deliver, Worker Placement"
512,Auction/Bidding
514,"Voting, Deduction, Betting and Bluffing"
515,Race
519,"Modular Board, Variable Player Powers"
520,"Area Majority / Influence, Dice Rolling, Area Movement, Team-Based Game"
521,"Team-Based Game, Dexterity"
524,Team-Based Game
525,Trick-taking
526,"Hexagon Grid, Grid Movement, Static Capture, Slide/Push"
527,"Pattern Building, Grid Movement"
528,"Set Collection, Grid Movement, Map Reduction"
529,Auction/Bidding
530,Roll / Spin and Move
531,"Area Majority / Influence, Auction/Bidding, Tile Placement, Real-Time"
533,"Tile Placement, Pattern Building, Pattern Recognition, Network and Route Building"
534,"Hand Management, Point to Point Movement, Deduction, Secret Unit Deployment, Team-Based Game, Hidden Movement"
536,"Pattern Building, Team-Based Game, Dexterity"
538,"Simultaneous Action Selection, Stock Holding"
539,"Network and Route Building, Crayon Rail System"
540,Network and Route Building
541,"Roll / Spin and Move, Simulation, Real-Time"
542,Voting
545,Pattern Recognition
548,"Dice Rolling, Point to Point Movement, Area Movement, Ratio / Combat Results Table, Minimap Resolution, Multiple Maps"
549,Action Queue
550,"Roll / Spin and Move, Deduction, Betting and Bluffing, Targeted Clues"
551,"Dice Rolling, Hand Management, Hexagon Grid, Modular Board, Command Cards"
552,"Action Points, Network and Route Building, Action Queue, Pick-up and Deliver, Worker Placement"
553,"Set Collection, Variable Player Powers, Take That"
554,"Area Majority / Influence, Tile Placement, Modular Board, Commodity Speculation, Drafting"
555,"Auction/Bidding, Tile Placement, Victory Points as a Resource, End Game Bonuses, Grid Coverage"
556,"Set Collection, Area Movement"
558,"Auction/Bidding, Hand Management, Network and Route Building, Negotiation, Voting"
559,"Tile Placement, Network and Route Building"
561,"Simultaneous Action Selection, Negotiation, Physical"
562,"Simultaneous Action Selection, Set Collection"
563,"Auction/Bidding, Dice Rolling, Negotiation, Betting and Bluffing"
565,Trick-taking
566,"Area Majority / Influence, Drafting"
568,"Hand Management, Trick-taking"
569,Set Collection
571,Dice Rolling
572,"Dice Rolling, Variable Player Powers, Grid Movement, Player Elimination, Take That, Campaign / Battle Card Driven"
574,Hand Management
575,"Auction/Bidding, Set Collection"
577,"Roll / Spin and Move, Commodity Speculation"
581,Grid Movement
582,"Area Majority / Influence, Area Movement"
585,Tile Placement
586,"Hand Management, Variable Player Powers, Simulation, Campaign / Battle Card Driven, Relative Movement"
587,Tile Placement
589,"Modular Board, Player Elimination"
590,"Hand Management, Take That, Team-Based Game"
592,"Auction/Bidding, Trick-taking, Team-Based Game, Predictive Bid"
593,Betting and Bluffing
594,"Hand Management, Paper-and-Pencil, Deduction, Memory"
595,"Dice Rolling, Hand Management"
600,"Hand Management, Point to Point Movement, Pick-up and Deliver"
601,Drafting
602,"Trick-taking, Ladder Climbing"
603,Variable Player Powers
604,"Simultaneous Action Selection, Set Collection, Secret Unit Deployment"
605,"Hand Management, Betting and Bluffing"
606,"Hand Management, Simultaneous Action Selection"
607,"Dice Rolling, Hand Management, Action Points, Take That"
608,"Tile Placement, Pattern Building, Pattern Recognition"
612,Dexterity
613,Point to Point Movement
614,"Pattern Building, Grid Movement, Memory, Real-Time"
617,"Auction/Bidding, Set Collection, Drafting"
618,Dice Rolling
619,"Trick-taking, Score-and-Reset Game"
620,"Area Majority / Influence, Dice Rolling, Hand Management, Point to Point Movement, Variable Player Powers, Simulation, Campaign / Battle Card Driven, Action/Event, Card Play Conflict Resolution"
621,"Auction/Bidding, Team-Based Game"
623,"Simultaneous Action Selection, Square Grid, Action Queue"
624,"Square Grid, Grid Movement"
625,"Auction/Bidding, Simultaneous Action Selection, Set Collection"
626,"Dice Rolling, Hexagon Grid, Simulation"
627,Area-Impulse
629,Modular Board
630,Real-Time
631,"Auction/Bidding, Hand Management, Race, Grid Movement"
632,"Dice Rolling, Hand Management, Push Your Luck, Betting and Bluffing, Track Movement"
633,"Auction/Bidding, Set Collection, Dexterity"
634,"Simultaneous Action Selection, Point to Point Movement, Action Queue"
635,"Dice Rolling, Hand Management, Relative Movement"
637,Race
638,"Hand Management, Action Points, Betting and Bluffing, Secret Unit Deployment"
639,"Auction/Bidding, Variable Player Powers, Simulation"
644,Auction/Bidding
645,Grid Movement
646,"Dice Rolling, Variable Player Powers, Take That"
648,Tile Placement
649,"Hexagon Grid, Set Collection, Trading, Variable Player Powers, Betting and Bluffing, Drafting"
650,Dice Rolling
651,"Set Collection, Trading, Drafting"
653,"Auction/Bidding, Simultaneous Action Selection"
655,"Hand Management, Tile Placement"
657,Betting and Bluffing
660,Simultaneous Action Selection
661,Trick-taking
665,"Real-Time, Dexterity"
668,"Area Majority / Influence, Auction/Bidding, Betting and Bluffing"
669,"Dice Rolling, Take That, Drafting"
670,"Dice Rolling, Hexagon Grid, Grid Movement, Scenario / Mission / Campaign Game, Movement Points, Simulation, Secret Unit Deployment, Ratio / Combat Results Table, Solo / Solitaire Game, Line of Sight"
671,"Dice Rolling, Hexagon Grid, Simulation, Ratio / Combat Results Table"
673,Pick-up and Deliver
674,Secret Unit Deployment
675,"Grid Movement, Static Capture, Physical"
676,Variable Player Powers
677,Voting
679,"Action Points, Variable Player Powers, Cooperative Game"
680,"Dice Rolling, Roll / Spin and Move, Player Elimination, Betting and Bluffing, Take That"
681,"Pattern Building, Pattern Recognition, I Cut, You Choose"
684,"Set Collection, Negotiation, Trading"
685,"Dice Rolling, Simultaneous Action Selection"
686,"Trick-taking, Betting and Bluffing"
688,Hexagon Grid
690,"Dice Rolling, Hexagon Grid, Grid Movement, Simulation"
691,"Hand Management, Simultaneous Action Selection, Deduction, Memory"
692,"Dice Rolling, Hexagon Grid, Modular Board, Variable Player Powers, Secret Unit Deployment"
696,"Stock Holding, Voting, Player Judge"
697,"Betting and Bluffing, Memory, Pick-up and Deliver"
